会社名,担当者名,メールアドレス,電話番号,URL,業種,ステータス,メモ
湯めごこち南郷の湯,,,011-846-4126,http://www.chuo-bus.co.jp/nango,サウナ・温浴施設,未着手,北海道
新琴似温泉 壱乃湯,,,011-762-1126,https://www.onsen-ichinoyu.com/,サウナ・温浴施設,未着手,北海道
ニセコ駅前温泉 綺羅乃湯,,,0136-44-1100,http://www16.plala.or.jp/kiranoyu/,サウナ・温浴施設,未着手,北海道
プレミアホテル-CABIN-帯広,,,0155-66-4205,https://cabin.kenhotels.com/obihiro/,サウナ・温浴施設,未着手,北海道
ていね温泉ほのか,,,011-683-4126,http://www.yudokoro-honoka.jp/teine/,サウナ・温浴施設,未着手,北海道
岩見沢温泉ほのか,,,0126-35-5526,https://yudokoro-honoka.jp/iwamizawa/,サウナ・温浴施設,未着手,北海道
北のたまゆら 桑園,,,011-611-2683,http://www.e-u.jp/souen_main.html,サウナ・温浴施設,未着手,北海道
あかん遊久の里 鶴雅,,xxx@xxx.xxx,0154-67-4000,http://www.tsuruga.com/,サウナ・温浴施設,未着手,北海道
オベリベリ温泉 水光園,,,0155-23-4700,https://m.facebook.com/%E3%82%AA%E3%83%99%E3%83%AA%E3%83%99%E3%83%AA%E6%B8%A9%E6%B3%89-%E6%B0%B4%E5%85%89%E5%9C%92-347053965380311/?locale2=ja_JP#!/%E3%82%AA%E3%83%99%E3%83%AA%E3%83%99%E3%83%AA%E6%B8%A9%E6%B3%89-%E6%B0%B4%E5%85%89%E5%9C%92-347053965380311/?locale2=ja_JP,サウナ・温浴施設,未着手,北海道
登別万世閣,,,0570-08-3500,http://www.noboribetsu-manseikaku.jp/,サウナ・温浴施設,未着手,北海道
プレミアホテル-CABIN-旭川 天然温泉かぐらの湯,,,0166-73-7430,https://cabin.kenhotels.com/asahikawa/,サウナ・温浴施設,未着手,北海道
リラクゼーション スパ・アルパ,,,011-895-8822,https://www.hotel-emisia.com/sapporo/spa/,サウナ・温浴施設,未着手,北海道
ラビスタ函館ベイ,,la-hakodate@dormy-hotels.com,0138-23-6111,http://www.hotespa.net/hotels/lahakodate/,サウナ・温浴施設,未着手,北海道
十勝ガーデンズホテル,,,0155-26-5555,https://www.gardenshotel.jp/,サウナ・温浴施設,未着手,北海道
ユンニの湯,,,0123-83-3800,https://www.yunni-spa.com/,サウナ・温浴施設,未着手,北海道
小樽温泉 オスパ,,,0134-25-5959,http://www.otaruspa.com/,サウナ・温浴施設,未着手,北海道
妹背牛温泉ペペル,,,0164-32-4141,https://www.instagram.com/onsenpeperu?igsh=ZjliOThzM3c1dnN5,サウナ・温浴施設,未着手,北海道
暖雪 札幌,,,011-590-4177,https://dansetsu.solarehotels.com/sapporo/,サウナ・温浴施設,未着手,北海道
三笠天然温泉 太古の湯,,,,http://www.clh-kk.com/taikonoyu/,サウナ・温浴施設,未着手,北海道
こうしんの湯,,,011-780-2615,http://www.e-furo-koushin.jp/,サウナ・温浴施設,未着手,北海道
HOTEL&SPA センチュリーマリーナ函館,,,0138-23-2121,https://www.centurymarina.com/,サウナ・温浴施設,未着手,北海道
石狩天然温泉 番屋の湯,,,0133-62-5000,http://banya-no-yu.com/,サウナ・温浴施設,未着手,北海道
goodsauna & spa SAPPORO,,,,https://office.goodrooms.jp/goodsauna/goodsaunaandspa,サウナ・温浴施設,未着手,北海道
KIELO SAUNA,,,0154-66-3422,https://www.akanroyalvalley.jp/kielosauna,サウナ・温浴施設,未着手,北海道
天然温泉やよい乃湯,,,0155-66-4126,http://yayoinoyu.com/,サウナ・温浴施設,未着手,北海道
定山渓温泉 湯の花,,,011-598-4444,http://www.yunohana.org/jyouzankei/,サウナ・温浴施設,未着手,北海道
恵庭温泉ラ・フォーレ,,,0123-32-4171,http://www.eniwa-onsen.com/,サウナ・温浴施設,未着手,北海道
定山渓ビューホテル,,reserve@jozankeiview.com,011-598-3223,http://www.jozankeiview.com/,サウナ・温浴施設,未着手,北海道
千歳乃湯えん,,,0123-40-1031,http://www.e-fujiya.com/html/sensai_top.html,サウナ・温浴施設,未着手,北海道
鳳乃舞温泉 音更,,,0155-43-5191,http://www.hounomai.com/,サウナ・温浴施設,未着手,北海道
十勝まきばの家,,example@makibanoie.com,015-572-6000,https://makibanoie.com/,サウナ・温浴施設,未着手,北海道
京極温泉 京極ふれあい交流センター,,,0136-42-2120,https://www.town-kyogoku.jp/kanko-event/kyogokuonsen/,サウナ・温浴施設,未着手,北海道
こみちの湯 ほのか,,,011-221-4126,https://www.yudokoro-honoka.jp/komichi/,サウナ・温浴施設,未着手,北海道
ホテルモントレエーデルホフ札幌 カルロビ･バリ･スパ,,,011-330-4455,https://www.hotelmonterey.co.jp/edelhof/spa/,サウナ・温浴施設,未着手,北海道
湯処ほのか,,,011-374-2615,http://www.yudokoro-honoka.jp/kitahiro,サウナ・温浴施設,未着手,北海道
森のゆ ホテル 花神楽,,,0166-83-3800,https://www.morinoyu-hanakagura.com/,サウナ・温浴施設,未着手,北海道
ONSEN RYOKAN 由縁 札幌,,info-sapporo@ryokan-yuen.jp,011-271-1126,https://www.uds-hotels.com/yuen/sapporo/,サウナ・温浴施設,未着手,北海道
晩成温泉,,bansei-onsen@soleil.ocn.ne.jp,,https://www.bansei-onsen.jp/,サウナ・温浴施設,未着手,北海道
なんぽろ温泉ハート&ハート,,,011-378-1126,http://nanporo-onsen.ambix.biz/,サウナ・温浴施設,未着手,北海道
天然温泉みなぴりかの湯(ホテルWBFグランデ旭川),,,0166-23-8000,https://www.hotelwbf.com/grande-asahikawa/facility/spa/,サウナ・温浴施設,未着手,北海道
Koti Private SAUNA Cottage,,,080-3504-3577,https://koti-toma.com/,サウナ・温浴施設,未着手,北海道
ココルクの湯,,,0113760720,https://www.supersento.com/hokaidotohoku/hokaido/cocorucu.html,サウナ・温浴施設,未着手,北海道
十勝川温泉 第一ホテル,,,0155-46-2231,https://www.daiichihotel.com/,サウナ・温浴施設,未着手,北海道
第一滝本館,,,0143-84-2111,http://www.takimotokan.co.jp/,サウナ・温浴施設,未着手,北海道
サホロリゾートホテル,,,0156-64-7111,https://www.sahoro.co.jp/,サウナ・温浴施設,未着手,北海道
つるいむら湿原温泉ホテル,,,0154-65-8840,http://tsurui-onsen.com/,サウナ・温浴施設,未着手,北海道
えにわ温泉ほのか,,,0123-32-2615,http://www.yudokoro-honoka.jp/eniwa,サウナ・温浴施設,未着手,北海道
HOTEL BOTH,,hokkaido.fishing.service@gmail.com,0152-26-7800,https://shiretoko-b.com/,サウナ・温浴施設,未着手,北海道
トムラウシ温泉 東大雪荘,,,0156-65-3021,http://www.tomuraushionsen.com/,サウナ・温浴施設,未着手,北海道
湯の花江別殿,,,011-385-4444,http://www.yunohana.org/ebetsu/,サウナ・温浴施設,未着手,北海道
花園温泉,,,0138-51-1310,http://www.kita-no-sento.com/sento/309/sp/,サウナ・温浴施設,未着手,北海道
緑の風 リゾート きたゆざわ,,,0570-026574,http://www.midorinokaze-resort.com/,サウナ・温浴施設,未着手,北海道
旭川高砂台 万葉の湯,,,0166-62-8910,http://www.manyo.co.jp/asahikawa/,サウナ・温浴施設,未着手,北海道
十勝岳温泉 凌雲閣,,ryounkaku.onsen@gmail.com,0167-39-4111,https://www.ryounkaku.jp/,サウナ・温浴施設,未着手,北海道
高砂温泉,,,0166-61-0227,https://www.takasagoonsen.com/,サウナ・温浴施設,未着手,北海道
十勝ナウマン温泉ホテルアルコ,,sample@samplce.com,,https://hotel-arco.jp/,サウナ・温浴施設,未着手,北海道
ローマの泉,,,0155-22-0456,http://ro-ma.jp/,サウナ・温浴施設,未着手,北海道
洞爺サンパレス リゾート&スパ,,,0142-75-1111,http://www.toyasunpalace.co.jp/,サウナ・温浴施設,未着手,北海道
虎杖浜温泉ホテル (Kojohama Spa Hotel),,,0144-82-8267,https://www.kojohama.net/?mobile=1,サウナ・温浴施設,未着手,北海道
道の駅 かみゆうべつ温泉チューリップの湯,,,,http://www.hokkaido-michinoeki.jp/michinoeki/472/,サウナ・温浴施設,未着手,北海道
アグリ工房まあぶ,,mabucamp@bz01.plala.or.jp,0164-26-3333,https://agri-studio-maabu.com/,サウナ・温浴施設,未着手,北海道
北村温泉ホテル,,,0126-55-3388,http://www.kitamuraonsen.com/,サウナ・温浴施設,未着手,北海道
Bay Lounge Coffee,,,,https://www.instagram.com/bayloungecoffee/?hl=ja,サウナ・温浴施設,未着手,北海道
秩父別温泉 ちっぷ・ゆう&ゆ,,,0164-33-2116,http://www.chipsk.jp/yuuyu/,サウナ・温浴施設,未着手,北海道
湯の花 朝里殿,,,0134-54-4444,http://www.yunohana.org/,サウナ・温浴施設,未着手,北海道
札幌 北広島クラッセホテル  楓楓,,,011-373-3800,http://kitahiroshima.classe-hotel.com/,サウナ・温浴施設,未着手,北海道
北のたまゆら 厚別,,,011-891-2683,http://www.e-u.jp/atubetu_main.html,サウナ・温浴施設,未着手,北海道
苫小牧温泉ほのか,,,0144-76-1126,http://www.yudokoro-honoka.jp/tomakomai,サウナ・温浴施設,未着手,北海道
新富良野プリンスホテル 富良野温泉 紫彩の湯,,,0167-22-1111,http://www.princehotels.co.jp/newfurano/facility/onsen/,サウナ・温浴施設,未着手,北海道
自由ヶ丘温泉,,,0155-35-1126,https://sauna-ikitai.stores.jp/,サウナ・温浴施設,未着手,北海道
天然温泉 ふみぞの湯,,,0154-39-1126,https://fumizonoyu.kushiro.jp,サウナ・温浴施設,未着手,北海道
函館高温源泉 湯の箱こみち,,,0138-42-2111,https://yunohako.com/,サウナ・温浴施設,未着手,北海道
ながぬま温泉,,,0123-88-2408,https://www.naganuma-onsen.com/,サウナ・温浴施設,未着手,北海道
ふとみ銘泉 万葉の湯,,,0133-26-2130,https://www.manyo.co.jp/futomi/,サウナ・温浴施設,未着手,北海道
モエレ天然温泉たまゆらの杜,,,011-791-6666,https://www.e-u.jp/mori/,サウナ・温浴施設,未着手,北海道
mountainman,,,011-581-1100,http://www.mountainman-cr.com/,サウナ・温浴施設,未着手,北海道
定山渓 鶴雅リゾートスパ 森の謌,,,011-598-2671,http://www.morino-uta.com/,サウナ・温浴施設,未着手,北海道
杜のSPA神楽,,,0166-60-2611,http://www.morinospa-kagura.com/,サウナ・温浴施設,未着手,北海道
ホテルグローバルビュー函館(旧 ホテルパコ函館),,,0138-23-8585,https://www.rio-hotels.co.jp/hakodate/,サウナ・温浴施設,未着手,北海道
月形温泉ゆりかご,,,0126-37-2188,http://tsukigataonsen-hotel.com/,サウナ・温浴施設,未着手,北海道
北のたまゆら 東苗穂,,,011-790-2683,https://www.e-u.jp/higasi_main.html,サウナ・温浴施設,未着手,北海道
くりやま温泉 ホテルパラダイスヒルズ,,,0123-72-1123,https://hotel-parahill.com/,サウナ・温浴施設,未着手,北海道
しんしのつ温泉 たっぷの湯,,,0126-58-3166,https://tappunoyuonsen.com/,サウナ・温浴施設,未着手,北海道
竹山高原温泉 (竹山高原ホテル),,,011-373-2827,http://www.n43.net/onsen/takeyamakougen/kougenhotel/,サウナ・温浴施設,未着手,北海道
札内ガーデン温泉,,,0155-55-4000,http://satsunai-g-onsen.sakura.ne.jp/,サウナ・温浴施設,未着手,北海道
ヤムワッカナイ温泉 港のゆ,,minatonoyu@fillandsmile.jp,0162-73-1126,https://minatonoyu.fill-sapporo.com/,サウナ・温浴施設,未着手,北海道
札幌あいの里温泉なごみ,,,011-778-7531,http://nagomi-onsen.jp/ainosato/,サウナ・温浴施設,未着手,北海道
ホテルグローバルビュー釧路 天然温泉 天空の湯(旧ホテルパコ釧路),,,0154-23-8585,https://www.rio-hotels.co.jp/kushiro/,サウナ・温浴施設,未着手,北海道
sauna NALUQ,,,050-1722-1137,https://sauna-naluq.main.jp/,サウナ・温浴施設,未着手,北海道
びらとり温泉 ゆから,,,,http://www.biratori-onsen.com/,サウナ・温浴施設,未着手,北海道
函館乃木温泉なごみ,,,0138-86-7531,http://nagomi-onsen.jp/hakodate/,サウナ・温浴施設,未着手,北海道
北のたまゆら 江別店,,,011-381-2683,http://www.e-u.jp/ebetu_main.html,サウナ・温浴施設,未着手,北海道
ホテル大平原,,,0155-46-2121,http://www.daiheigen.com/,サウナ・温浴施設,未着手,北海道
ホテルめぐま,,,0162-26-2290,http://www.meguma.jp/,サウナ・温浴施設,未着手,北海道
たきのうえホテル渓谷,,,0158-29-3399,http://hotel-keikoku.jp/,サウナ・温浴施設,未着手,北海道
星野リゾート リゾナーレトマム,,,0167-58-1145,http://risonare.com/tomamu/,サウナ・温浴施設,未着手,北海道
灯の湯 ドーミーインPREMIUM小樽,,inn-otaru@dormy-hotels.com,0134-21-5489,http://www.hotespa.net/hotels/otaru/,サウナ・温浴施設,未着手,北海道
苫小牧温泉 なごみの湯,,xxxxx@aaaa.com,0144-57-0753,http://www.nagominoyu.co.jp/,サウナ・温浴施設,未着手,北海道
芸森ワーサム,,,011-558-1770,https://w-awesome.com/,サウナ・温浴施設,未着手,北海道
黒松内温泉ぶなの森,,,,https://sauna-ikitai.com/saunas/260,サウナ・温浴施設,未着手,北海道
北見湯元のつけ乃湯,,,,https://sauna-ikitai.com/saunas/45,サウナ・温浴施設,未着手,北海道
FAV LUX 札幌すすきの,,,,https://sauna-ikitai.com/saunas/89876,サウナ・温浴施設,未着手,北海道
ホテル恵風,,aaa@bbb.cc,0138-86-2121,http://www.todohokke.jp/,サウナ・温浴施設,未着手,北海道
オートリゾート 苫小牧アルテン ゆのみの湯,,,0144-61-4126,http://www.dp-flex.co.jp/arten/yunomi/roten.html,サウナ・温浴施設,未着手,北海道
リブマックスリゾート函館  グリーンピア大沼,,sample@gp-onuma.com,,http://www.gp-onuma.com/,サウナ・温浴施設,未着手,北海道
天然温泉&メンズサウナ 若松の湯(北見ピアソンホテル),,,0157-25-1000,http://www.piersonhotel.co.jp/,サウナ・温浴施設,未着手,北海道
道の駅 しらぬか恋問館,,,,https://michinoeki-shiranuka.jp/sauna/,サウナ・温浴施設,未着手,北海道
まっかり温泉,,,0136-45-2717,https://www.vill.makkari.lg.jp/kanko/tomaru_onsen/makkari_onsen/,サウナ・温浴施設,未着手,北海道
ホテルポールスター札幌,,info@polestar-sapporo.com,011-241-9111,http://www.polestar-sapporo.com/,サウナ・温浴施設,未着手,北海道
岩見沢温泉なごみ,,,0126-32-1010,http://nagomi-onsen.jp/iwamizawa/,サウナ・温浴施設,未着手,北海道
ホテル大雪 ONSEN & CANYON  RESORT,,,,http://www.hotel-taisetsu.com/,サウナ・温浴施設,未着手,北海道
帯広天然温泉 ふく井ホテル,,,0155-25-1717,https://www.fukuihotel.co.jp/,サウナ・温浴施設,未着手,北海道
おけと勝山温泉ゆぅゆ,,,0157-54-2211,http://www.oketo-yuuyu.com/,サウナ・温浴施設,未着手,北海道
湯らん銭 旭川店,,,0166-69-2619,https://yu-ransen.com/,サウナ・温浴施設,未着手,北海道
サウナ アッセ・デ〜ル,,librapiano@e-mlink.co.jp,0157-57-1044,https://www.librapiano.com/sauna_assede-ru/,サウナ・温浴施設,未着手,北海道
東前温泉 しんわの湯,,info@shinwanoyu.com,0138-77-8000,http://www.shinwanoyu.com/,サウナ・温浴施設,未着手,北海道
しほろ温泉プラザ緑風,,,,http://www.shihoro-spa.co.jp/index.html,サウナ・温浴施設,未着手,北海道
駒ヶ峯温泉 ちゃっぷ林館,,,,https://ys-kaisyo.co.jp/chaplinkan/,サウナ・温浴施設,未着手,北海道
ホテルパークヒルズ,,,0166-94-3041,http://www.biei-hotelparkhills.com/,サウナ・温浴施設,未着手,北海道
こぶしの湯 あつま,,,0120-227-126,http://www.kobushi-atsuma.com/,サウナ・温浴施設,未着手,北海道
峠の湯びほろ,,,0152-73-2121,http://www.tougenoyu.com/,サウナ・温浴施設,未着手,北海道
みついし昆布温泉 蔵三,,,0146-34-2300,http://kurazou.ambix.biz/,サウナ・温浴施設,未着手,北海道
新冠温泉 レ・コードの湯 ホテルヒルズ,,otoiawase@hotelhills.jp,0146-47-2100,http://hotelhills.jp/,サウナ・温浴施設,未着手,北海道
幣舞の湯 ドーミーインPREMIUM釧路,,la-kushirogawa@dormy-hotels.com,0154-31-5489,http://www.hotespa.net/hotels/kushirogawa/,サウナ・温浴施設,未着手,北海道
幽泉閣,,,0136-58-2131,http://www.town.rankoshi.hokkaido.jp/yuusenkaku/,サウナ・温浴施設,未着手,北海道
滝川ふれ愛の里,,,0125-26-2000,https://takikawa-fureainosato.jp/,サウナ・温浴施設,未着手,北海道
Moving Inn Tokachi 北の森,,,,https://moving-inn.com/,サウナ・温浴施設,未着手,北海道
幌加内せいわ温泉ルオント,,,0165-37-2070,https://horokanaisoba.com/hotsprings/,サウナ・温浴施設,未着手,北海道
湯の花手宮殿,,,0134-31-4444,http://www.yunohana.org/temiya/,サウナ・温浴施設,未着手,北海道
オホーツク温泉ホテル日の出岬,,,0158-85-2626,http://hinodemisaki.com/index.html,サウナ・温浴施設,未着手,北海道
和風旅館扇松園,,,0166-61-5154,http://www.sensyoen.co.jp/index.php,サウナ・温浴施設,未着手,北海道
昭和温泉,,,0138-42-4126,http://www.hakonavi.ne.jp/spa/hakodate/showa/,サウナ・温浴施設,未着手,北海道
うらほろ留真温泉,,,015-576-4410,https://www.rushin.jp/,サウナ・温浴施設,未着手,北海道
定山渓第一寶亭留 翠山亭,,,011-598-2141,http://www.jyozankei-daiichi.co.jp/jyozankei/,サウナ・温浴施設,未着手,北海道
五味温泉,,gomionsen@gmail.com,,http://gomionsen.jp/,サウナ・温浴施設,未着手,北海道
えべおつ温泉ホテル,,,0125-75-2555,http://onsen.secumaint.com/,サウナ・温浴施設,未着手,北海道
湯元ホテル山水 美肌の湯,,,0152-74-2343,http://hotel-sansui.com/,サウナ・温浴施設,未着手,北海道
利尻富士温泉,,portal_m@d.css,0163-82-2388,http://www.town.rishirifuji.hokkaido.jp/rishirifuji/1204.htm,サウナ・温浴施設,未着手,北海道
シャトレーゼカントリークラブ 栗山,,,0123-72-6600,http://www.ishikariresort.co.jp/sapporo/,サウナ・温浴施設,未着手,北海道
楽々温泉,,,0143-45-3121,https://instagram.com/rakurakuonsen?igshid=13dm6d5n4yelx,サウナ・温浴施設,未着手,北海道
フロンティア フラヌイ温泉,,info@furanui.com,0167-45-9779,http://www.furanui.com/,サウナ・温浴施設,未着手,北海道
チロルの湯,,,0125-42-5588,http://tirolnoyu.jp/,サウナ・温浴施設,未着手,北海道
奥屈斜路温泉ランプの宿森つべつ,,,0152-76-3333,http://mtbt.biz/,サウナ・温浴施設,未着手,北海道
赤平市 保養センターエルム高原温泉・ゆったり,,,0125-34-2155,http://akabira.net/onsen/,サウナ・温浴施設,未着手,北海道
白樺の湯 ドーミーイン帯広,,inn-obihiro@dormy-hotels.com,0155-21-5489,http://www.hotespa.net/hotels/obihiro/,サウナ・温浴施設,未着手,北海道
ヘルシーシャトー,,info@healthy-chateau.jp,0166-58-8112,http://healthy-chateau.jp/facilities.html,サウナ・温浴施設,未着手,北海道
サンフラワーパークホテル,,,0164-34-3321,https://sunflower-park.com/,サウナ・温浴施設,未着手,北海道
鶴亀温泉,,,0135-22-1126,http://www.tsurukame-onsen.com/,サウナ・温浴施設,未着手,北海道
天然豊浦温泉しおさい,,,0142-83-1126,https://shiosai-spa.com/,サウナ・温浴施設,未着手,北海道
山の手温泉,,,0138-35-4126,https://sauna-ikitai.stores.jp/,サウナ・温浴施設,未着手,北海道
ほろしん温泉ほたる館,,kamikawa@xxx.com,0164-35-1188,http://www.horosin-onsen.com/,サウナ・温浴施設,未着手,北海道
RONENAI BASE.,,,0166-76-7895,https://ronenaibase.snack.chillnn.com,サウナ・温浴施設,未着手,北海道
山花温泉リフレ,,,0154-56-2233,http://www.refre-yamahana.jp/,サウナ・温浴施設,未着手,北海道
遊湯ぴっぷ,,,0166-85-4700,http://yuyupippu.com/,サウナ・温浴施設,未着手,北海道
日帰り健康ランド華の湯 (グランヴィリオホテル),,,0155-56-2121,http://www.route-inn.co.jp/hananoyu-makubetsu/,サウナ・温浴施設,未着手,北海道
ニセコ カシノヤ -niseko KASHINOYA-,,info@niseko-kashinoya.jp,0136-22-0315,https://niseko-kashinoya.jp/barrel_sauna_de_totonou_at_kashinoya/,サウナ・温浴施設,未着手,北海道
道の駅 むかわ四季の館,,,0145-42-4171,http://www.shikinoyakata.com/,サウナ・温浴施設,未着手,北海道
伊達温泉,,,0142-25-1919,http://www.date-onsen.com/,サウナ・温浴施設,未着手,北海道
浜中町ふれあい交流・保養センター 霧多布温泉 ゆうゆ,,,0153-62-3726,http://kiritappu-yuyu.com/,サウナ・温浴施設,未着手,北海道
ルスツリゾートホテル ルスツ温泉 ことぶきの湯,,,0136-46-3111,https://rusutsu.com/onsen-wellness/kotobukinoyu,サウナ・温浴施設,未着手,北海道
北斗市健康センターせせらぎ温泉,,,0138-77-7070,https://www.city.hokuto.hokkaido.jp/docs/1579.html,サウナ・温浴施設,未着手,北海道
天然温泉 ホテル光南,,info@h-kounan.com,0155-23-7353,http://www.h-kounan.com/,サウナ・温浴施設,未着手,北海道
冬のテントサウナ「SNOWY」in 北広島,,,090-2050-0081,https://savebleu.amebaownd.com/,サウナ・温浴施設,未着手,北海道
寿都温泉ゆべつのゆ,,,0136-64-5211,http://www.yubetsunoyu.com/,サウナ・温浴施設,未着手,北海道
アポイ山荘,,,0146-36-5211,https://www.apoi-sanso.co.jp/,サウナ・温浴施設,未着手,北海道
日向温泉,,,0165-26-2021,https://m.facebook.com/hinataonsen,サウナ・温浴施設,未着手,北海道
湯けむりパーク湯らん銭,,,0144-76-2683,https://sauna-ikitai.stores.jp/,サウナ・温浴施設,未着手,北海道
ラビスタ富良野ヒルズ (ドーミーインチェーン),,la-furano@dormy-hotels.com,0167-23-8666,https://www.hotespa.net/hotels/furano/,サウナ・温浴施設,未着手,北海道
